in s,C2 in V
-1.0173852E-03,-2.58320E-02
-1.0173696E-03,-2.68086E-02
-1.0173540E-03,-2.48555E-02
-1.0173384E-03,-2.29023E-02
-1.0173228E-03,-2.48555E-02
-1.0173072E-03,-2.38789E-02
-1.0172916E-03,-2.68086E-02
-1.0172760E-03,-2.38789E-02
-1.0172604E-03,-2.29023E-02
-1.0172448E-03,-2.19258E-02
-1.0172292E-03,-2.48555E-02
-1.0172136E-03,-2.38789E-02
-1.0171980E-03,-2.38789E-02
-1.0171824E-03,-2.48555E-02
-1.0171668E-03,-2.68086E-02
-1.0171512E-03,-2.58320E-02
-1.0171356E-03,-2.48555E-02
-1.0171200E-03,-2.58320E-02
-1.0171044E-03,-2.48555E-02
-1.0170888E-03,-2.29023E-02
-1.0170732E-03,-2.58320E-02
-1.0170576E-03,-2.68086E-02
-1.0170420E-03,-2.38789E-02
-1.0170264E-03,-2.09492E-02
-1.0170108E-03,-2.48555E-02
-1.0169952E-03,-2.48555E-02
-1.0169796E-03,-2.77852E-02
-1.0169640E-03,-2.48555E-02
-1.0169484E-03,-2.38789E-02
-1.0169328E-03,-2.19258E-02
-1.0169172E-03,-2.09492E-02
-1.0169016E-03,-2.29023E-02
-1.0168860E-03,-2.68086E-02
-1.0168704E-03,-2.77852E-02
-1.0168548E-03,-2.38789E-02
-1.0168392E-03,-2.58320E-02
-1.0168236E-03,-2.58320E-02
-1.0168080E-03,-2.48555E-02
-1.0167924E-03,-2.68086E-02
-1.0167768E-03,-2.38789E-02
-1.0167612E-03,-2.29023E-02
-1.0167456E-03,-2.29023E-02
-1.0167300E-03,-2.19258E-02
-1.0167144E-03,-2.68086E-02
-1.0166988E-03,-2.38789E-02
-1.0166832E-03,-2.48555E-02
-1.0166676E-03,-1.99727E-02
-1.0166520E-03,-2.58320E-02
-1.0166364E-03,-2.29023E-02
-1.0166208E-03,-2.38789E-02
-1.0166052E-03,-2.58320E-02
-1.0165896E-03,-2.68086E-02
-1.0165740E-03,-2.58320E-02
-1.0165584E-03,-2.29023E-02
-1.0165428E-03,-2.48555E-02
-1.0165272E-03,-2.19258E-02
-1.0165116E-03,-2.38789E-02
-1.0164960E-03,-2.58320E-02
-1.0164804E-03,-2.19258E-02
-1.0164648E-03,-2.29023E-02
-1.0164492E-03,-2.29023E-02
-1.0164336E-03,-2.19258E-02
-1.0164180E-03,-2.38789E-02
-1.0164024E-03,-2.19258E-02
-1.0163868E-03,-2.29023E-02
-1.0163712E-03,-2.58320E-02
-1.0163556E-03,-2.29023E-02
-1.0163400E-03,-1.70430E-02
-1.0163244E-03,-1.89961E-02
-1.0163088E-03,-2.09492E-02
-1.0162932E-03,-2.29023E-02
-1.0162776E-03,-2.48555E-02
-1.0162620E-03,-2.29023E-02
-1.0162464E-03,-2.29023E-02
-1.0162308E-03,-1.89961E-02
-1.0162152E-03,-2.19258E-02
-1.0161996E-03,-2.58320E-02
-1.0161840E-03,-2.09492E-02
-1.0161684E-03,-2.29023E-02
-1.0161528E-03,-2.48555E-02
-1.0161372E-03,-2.58320E-02
-1.0161216E-03,-1.89961E-02
-1.0161060E-03,-2.19258E-02
-1.0160904E-03,-1.99727E-02
-1.0160748E-03,-1.89961E-02
-1.0160592E-03,-2.58320E-02
-1.0160436E-03,-2.29023E-02
-1.0160280E-03,-2.29023E-02
-1.0160124E-03,-2.29023E-02
-1.0159968E-03,-2.29023E-02
-1.0159812E-03,-2.38789E-02
-1.0159656E-03,-2.09492E-02
-1.0159500E-03,-2.29023E-02
-1.0159344E-03,-2.19258E-02
-1.0159188E-03,-2.09492E-02
-1.0159032E-03,-2.09492E-02
-1.0158876E-03,-2.29023E-02
-1.0158720E-03,-2.29023E-02
-1.0158564E-03,-2.09492E-02
-1.0158408E-03,-2.29023E-02
-1.0158252E-03,-2.09492E-02
-1.0158096E-03,-2.58320E-02
-1.0157940E-03,-2.48555E-02
-1.0157784E-03,-2.19258E-02
-1.0157628E-03,-1.99727E-02
-1.0157472E-03,-2.19258E-02
-1.0157316E-03,-1.99727E-02
-1.0157160E-03,-2.48555E-02
-1.0157004E-03,-2.19258E-02
-1.0156848E-03,-2.48555E-02
-1.0156692E-03,-1.99727E-02
-1.0156536E-03,-2.29023E-02
-1.0156380E-03,-2.29023E-02
-1.0156224E-03,-2.19258E-02
-1.0156068E-03,-2.09492E-02
-1.0155912E-03,-2.19258E-02
-1.0155756E-03,-2.48555E-02
-1.0155600E-03,-2.19258E-02
-1.0155444E-03,-2.68086E-02
-1.0155288E-03,-2.29023E-02
-1.0155132E-03,-2.29023E-02
-1.0154976E-03,-2.48555E-02
-1.0154820E-03,-1.70430E-02
-1.0154664E-03,-2.29023E-02
-1.0154508E-03,-2.29023E-02
-1.0154352E-03,-1.80195E-02
-1.0154196E-03,-2.38789E-02
-1.0154040E-03,-1.99727E-02
-1.0153884E-03,-2.09492E-02
-1.0153728E-03,-2.38789E-02
-1.0153572E-03,-2.09492E-02
-1.0153416E-03,-2.48555E-02
-1.0153260E-03,-2.09492E-02
-1.0153104E-03,-2.19258E-02
-1.0152948E-03,-2.29023E-02
-1.0152792E-03,-2.19258E-02
-1.0152636E-03,-2.19258E-02
-1.0152480E-03,-2.19258E-02
-1.0152324E-03,-1.99727E-02
-1.0152168E-03,-2.29023E-02
-1.0152012E-03,-2.09492E-02
-1.0151856E-03,-1.99727E-02
-1.0151700E-03,-1.99727E-02
-1.0151544E-03,-2.19258E-02
-1.0151388E-03,-2.38789E-02
-1.0151232E-03,-2.19258E-02
-1.0151076E-03,-2.68086E-02
-1.0150920E-03,-2.09492E-02
-1.0150764E-03,-1.70430E-02
-1.0150608E-03,-2.19258E-02
-1.0150452E-03,-2.38789E-02
-1.0150296E-03,-1.89961E-02
-1.0150140E-03,-1.89961E-02
-1.0149984E-03,-1.80195E-02
-1.0149828E-03,-2.09492E-02
-1.0149672E-03,-2.19258E-02
-1.0149516E-03,-1.80195E-02
-1.0149360E-03,-2.19258E-02
-1.0149204E-03,-1.99727E-02
-1.0149048E-03,-1.99727E-02
-1.0148892E-03,-2.48555E-02
-1.0148736E-03,-2.38789E-02
-1.0148580E-03,-2.29023E-02
-1.0148424E-03,-2.19258E-02
-1.0148268E-03,-2.09492E-02
-1.0148112E-03,-2.09492E-02
-1.0147956E-03,-2.19258E-02
-1.0147800E-03,-2.19258E-02
-1.0147644E-03,-2.29023E-02
-1.0147488E-03,-1.89961E-02
-1.0147332E-03,-1.80195E-02
-1.0147176E-03,-1.99727E-02
-1.0147020E-03,-2.19258E-02
-1.0146864E-03,-2.09492E-02
-1.0146708E-03,-2.09492E-02
-1.0146552E-03,-1.89961E-02
-1.0146396E-03,-1.99727E-02
-1.0146240E-03,-2.19258E-02
-1.0146084E-03,-1.99727E-02
-1.0145928E-03,-2.09492E-02
-1.0145772E-03,-1.89961E-02
-1.0145616E-03,-2.19258E-02
-1.0145460E-03,-2.09492E-02
-1.0145304E-03,-1.80195E-02
-1.0145148E-03,-2.09492E-02
-1.0144992E-03,-1.89961E-02
-1.0144836E-03,-2.19258E-02
-1.0144680E-03,-1.99727E-02
-1.0144524E-03,-1.80195E-02
-1.0144368E-03,-1.89961E-02
-1.0144212E-03,-2.29023E-02
-1.0144056E-03,-1.99727E-02
-1.0143900E-03,-2.09492E-02
-1.0143744E-03,-1.70430E-02
-1.0143588E-03,-1.99727E-02
-1.0143432E-03,-1.99727E-02
-1.0143276E-03,-2.09492E-02
-1.0143120E-03,-1.70430E-02
-1.0142964E-03,-2.19258E-02
-1.0142808E-03,-1.89961E-02
-1.0142652E-03,-2.19258E-02
-1.0142496E-03,-2.19258E-02
-1.0142340E-03,-1.89961E-02
-1.0142184E-03,-2.09492E-02
-1.0142028E-03,-2.29023E-02
-1.0141872E-03,-2.09492E-02
-1.0141716E-03,-2.09492E-02
-1.0141560E-03,-2.29023E-02
-1.0141404E-03,-1.60664E-02
-1.0141248E-03,-2.19258E-02
-1.0141092E-03,-1.99727E-02
-1.0140936E-03,-1.99727E-02
-1.0140780E-03,-1.70430E-02
-1.0140624E-03,-1.89961E-02
-1.0140468E-03,-2.19258E-02
-1.0140312E-03,-1.60664E-02
-1.0140156E-03,-1.99727E-02
-1.0140000E-03,-1.89961E-02
-1.0139844E-03,-1.99727E-02
-1.0139688E-03,-1.99727E-02
-1.0139532E-03,-2.09492E-02
-1.0139376E-03,-1.70430E-02
-1.0139220E-03,-1.99727E-02
-1.0139064E-03,-1.99727E-02
-1.0138908E-03,-1.80195E-02
-1.0138752E-03,-1.99727E-02
-1.0138596E-03,-1.89961E-02
-1.0138440E-03,-1.80195E-02
-1.0138284E-03,-1.89961E-02
-1.0138128E-03,-2.09492E-02
-1.0137972E-03,-2.29023E-02
-1.0137816E-03,-1.80195E-02
-1.0137660E-03,-2.09492E-02
-1.0137504E-03,-1.60664E-02
-1.0137348E-03,-1.60664E-02
-1.0137192E-03,-2.19258E-02
-1.0137036E-03,-1.80195E-02
-1.0136880E-03,-1.99727E-02
-1.0136724E-03,-2.09492E-02
-1.0136568E-03,-1.89961E-02
-1.0136412E-03,-1.60664E-02
-1.0136256E-03,-1.89961E-02
-1.0136100E-03,-1.80195E-02
-1.0135944E-03,-1.89961E-02
-1.0135788E-03,-1.70430E-02
-1.0135632E-03,-1.89961E-02
-1.0135476E-03,-2.19258E-02
-1.0135320E-03,-1.89961E-02
-1.0135164E-03,-1.99727E-02
-1.0135008E-03,-1.89961E-02
-1.0134852E-03,-1.89961E-02
-1.0134696E-03,-1.60664E-02
-1.0134540E-03,-1.99727E-02
-1.0134384E-03,-1.99727E-02
-1.0134228E-03,-1.60664E-02
-1.0134072E-03,-1.89961E-02
-1.0133916E-03,-1.70430E-02
