in s,C2 in V
2.2386000E-03,-1.70898E-01
2.2386008E-03,-1.31836E-01
2.2386016E-03,-1.51367E-01
2.2386024E-03,-1.12305E-01
2.2386032E-03,-1.41602E-01
2.2386040E-03,-1.41602E-01
2.2386048E-03,-1.51367E-01
2.2386056E-03,-1.51367E-01
2.2386064E-03,-1.70898E-01
2.2386072E-03,-1.31836E-01
2.2386080E-03,-1.90430E-01
2.2386088E-03,-1.41602E-01
2.2386096E-03,-9.27734E-02
2.2386104E-03,-1.31836E-01
2.2386112E-03,-1.51367E-01
2.2386120E-03,-1.02539E-01
2.2386128E-03,-1.02539E-01
2.2386136E-03,-1.22070E-01
2.2386144E-03,-1.22070E-01
2.2386152E-03,-1.02539E-01
2.2386160E-03,-1.12305E-01
2.2386168E-03,-1.31836E-01
2.2386176E-03,-9.27734E-02
2.2386184E-03,-1.31836E-01
2.2386192E-03,-1.22070E-01
2.2386200E-03,-1.12305E-01
2.2386208E-03,-1.31836E-01
2.2386216E-03,-1.12305E-01
2.2386224E-03,-1.12305E-01
2.2386232E-03,-1.02539E-01
2.2386240E-03,-7.32422E-02
2.2386248E-03,-8.30078E-02
2.2386256E-03,-1.12305E-01
2.2386264E-03,-1.02539E-01
2.2386272E-03,-8.30078E-02
2.2386280E-03,-1.02539E-01
2.2386288E-03,-1.31836E-01
2.2386296E-03,-8.30078E-02
2.2386304E-03,-7.32422E-02
2.2386312E-03,-9.27734E-02
2.2386320E-03,-8.30078E-02
2.2386328E-03,-8.30078E-02
2.2386336E-03,-1.41602E-01
2.2386344E-03,-1.12305E-01
2.2386352E-03,-7.32422E-02
2.2386360E-03,-8.30078E-02
2.2386368E-03,-7.32422E-02
2.2386376E-03,-8.30078E-02
2.2386384E-03,-9.27734E-02
2.2386392E-03,-1.02539E-01
2.2386400E-03,-6.34766E-02
2.2386408E-03,-7.32422E-02
2.2386416E-03,-1.02539E-01
2.2386424E-03,-7.32422E-02
2.2386432E-03,-7.32422E-02
2.2386440E-03,-9.27734E-02
2.2386448E-03,-8.30078E-02
2.2386456E-03,-1.02539E-01
2.2386464E-03,-9.27734E-02
2.2386472E-03,-7.32422E-02
2.2386480E-03,-7.32422E-02
2.2386488E-03,-8.30078E-02
2.2386496E-03,-7.32422E-02
2.2386504E-03,-7.32422E-02
2.2386512E-03,-5.37109E-02
2.2386520E-03,-6.34766E-02
2.2386528E-03,-3.41797E-02
2.2386536E-03,-3.41797E-02
2.2386544E-03,-6.34766E-02
2.2386552E-03,-8.30078E-02
2.2386560E-03,-5.37109E-02
2.2386568E-03,-6.34766E-02
2.2386576E-03,-7.32422E-02
2.2386584E-03,-2.44141E-02
2.2386592E-03,-1.02539E-01
2.2386600E-03,-5.37109E-02
2.2386608E-03,-6.34766E-02
2.2386616E-03,-5.37109E-02
2.2386624E-03,-4.39453E-02
2.2386632E-03,-7.32422E-02
2.2386640E-03,-4.39453E-02
2.2386648E-03,-5.37109E-02
2.2386656E-03,-3.41797E-02
2.2386664E-03,-1.46484E-02
2.2386672E-03,-4.39453E-02
2.2386680E-03,-6.34766E-02
2.2386688E-03,-4.39453E-02
2.2386696E-03,-4.39453E-02
2.2386704E-03,-3.41797E-02
2.2386712E-03,-7.32422E-02
2.2386720E-03,-1.46484E-02
2.2386728E-03,-3.41797E-02
2.2386736E-03,-2.44141E-02
2.2386744E-03,-3.41797E-02
2.2386752E-03,-3.41797E-02
2.2386760E-03,-1.46484E-02
2.2386768E-03,-8.30078E-02
2.2386776E-03,-5.37109E-02
2.2386784E-03,4.88281E-03
2.2386792E-03,-4.88281E-03
2.2386800E-03,-2.44141E-02
2.2386808E-03,-1.46484E-02
2.2386816E-03,1.46484E-02
2.2386824E-03,-4.88281E-03
2.2386832E-03,-4.88281E-03
2.2386840E-03,-3.41797E-02
2.2386848E-03,1.46484E-02
2.2386856E-03,-1.46484E-02
2.2386864E-03,-4.88281E-03
2.2386872E-03,-3.41797E-02
2.2386880E-03,-2.44141E-02
2.2386888E-03,4.88281E-03
2.2386896E-03,-1.46484E-02
2.2386904E-03,4.88281E-03
2.2386912E-03,4.88281E-03
2.2386920E-03,4.88281E-03
2.2386928E-03,-3.41797E-02
2.2386936E-03,-3.41797E-02
2.2386944E-03,-2.44141E-02
2.2386952E-03,4.88281E-03
2.2386960E-03,-4.88281E-03
2.2386968E-03,5.37109E-02
2.2386976E-03,3.41797E-02
2.2386984E-03,1.46484E-02
2.2386992E-03,2.44141E-02
2.2387000E-03,4.88281E-03
2.2387008E-03,4.88281E-03
2.2387016E-03,5.37109E-02
2.2387024E-03,5.37109E-02
2.2387032E-03,1.46484E-02
2.2387040E-03,1.46484E-02
2.2387048E-03,1.46484E-02
2.2387056E-03,4.88281E-03
2.2387064E-03,4.39453E-02
2.2387072E-03,4.88281E-03
2.2387080E-03,3.41797E-02
2.2387088E-03,5.37109E-02
2.2387096E-03,6.34766E-02
2.2387104E-03,5.37109E-02
2.2387112E-03,4.39453E-02
2.2387120E-03,1.46484E-02
2.2387128E-03,4.88281E-03
2.2387136E-03,2.44141E-02
2.2387144E-03,3.41797E-02
2.2387152E-03,2.44141E-02
2.2387160E-03,1.46484E-02
2.2387168E-03,4.88281E-03
2.2387176E-03,6.34766E-02
2.2387184E-03,4.39453E-02
2.2387192E-03,6.34766E-02
2.2387200E-03,1.46484E-02
2.2387208E-03,9.27734E-02
2.2387216E-03,3.41797E-02
2.2387224E-03,6.34766E-02
2.2387232E-03,4.39453E-02
2.2387240E-03,3.41797E-02
2.2387248E-03,4.39453E-02
2.2387256E-03,4.39453E-02
2.2387264E-03,4.39453E-02
2.2387272E-03,3.41797E-02
2.2387280E-03,4.39453E-02
2.2387288E-03,3.41797E-02
2.2387296E-03,3.41797E-02
2.2387304E-03,3.41797E-02
2.2387312E-03,7.32422E-02
2.2387320E-03,4.39453E-02
2.2387328E-03,4.39453E-02
2.2387336E-03,4.39453E-02
2.2387344E-03,7.32422E-02
2.2387352E-03,7.32422E-02
2.2387360E-03,5.37109E-02
2.2387368E-03,1.02539E-01
2.2387376E-03,8.30078E-02
2.2387384E-03,6.34766E-02
2.2387392E-03,6.34766E-02
2.2387400E-03,4.39453E-02
2.2387408E-03,5.37109E-02
2.2387416E-03,7.32422E-02
2.2387424E-03,5.37109E-02
2.2387432E-03,9.27734E-02
2.2387440E-03,5.37109E-02
2.2387448E-03,5.37109E-02
2.2387456E-03,7.32422E-02
2.2387464E-03,7.32422E-02
2.2387472E-03,1.12305E-01
2.2387480E-03,7.32422E-02
2.2387488E-03,8.30078E-02
2.2387496E-03,6.34766E-02
2.2387504E-03,9.27734E-02
2.2387512E-03,6.34766E-02
2.2387520E-03,6.34766E-02
2.2387528E-03,1.02539E-01
2.2387536E-03,1.02539E-01
2.2387544E-03,7.32422E-02
2.2387552E-03,6.34766E-02
2.2387560E-03,1.12305E-01
2.2387568E-03,9.27734E-02
2.2387576E-03,6.34766E-02
2.2387584E-03,1.02539E-01
2.2387592E-03,1.31836E-01
2.2387600E-03,8.30078E-02
2.2387608E-03,9.27734E-02
2.2387616E-03,7.32422E-02
2.2387624E-03,9.27734E-02
2.2387632E-03,1.22070E-01
2.2387640E-03,9.27734E-02
2.2387648E-03,1.12305E-01
2.2387656E-03,1.22070E-01
2.2387664E-03,9.27734E-02
2.2387672E-03,1.31836E-01
2.2387680E-03,1.22070E-01
2.2387688E-03,1.22070E-01
2.2387696E-03,1.31836E-01
2.2387704E-03,9.27734E-02
2.2387712E-03,1.41602E-01
2.2387720E-03,1.31836E-01
2.2387728E-03,1.02539E-01
2.2387736E-03,1.02539E-01
2.2387744E-03,1.12305E-01
2.2387752E-03,1.22070E-01
2.2387760E-03,1.61133E-01
2.2387768E-03,1.12305E-01
2.2387776E-03,1.22070E-01
2.2387784E-03,1.12305E-01
2.2387792E-03,1.41602E-01
2.2387800E-03,1.22070E-01
2.2387808E-03,1.31836E-01
2.2387816E-03,1.31836E-01
2.2387824E-03,1.22070E-01
2.2387832E-03,9.27734E-02
2.2387840E-03,1.51367E-01
2.2387848E-03,1.41602E-01
2.2387856E-03,1.31836E-01
2.2387864E-03,1.51367E-01
2.2387872E-03,1.41602E-01
2.2387880E-03,1.22070E-01
2.2387888E-03,1.61133E-01
2.2387896E-03,1.12305E-01
2.2387904E-03,1.22070E-01
2.2387912E-03,1.61133E-01
2.2387920E-03,1.41602E-01
2.2387928E-03,1.12305E-01
2.2387936E-03,1.61133E-01
2.2387944E-03,1.41602E-01
2.2387952E-03,1.22070E-01
2.2387960E-03,1.41602E-01
2.2387968E-03,1.51367E-01
2.2387976E-03,1.51367E-01
2.2387984E-03,1.41602E-01
2.2387992E-03,1.41602E-01
2.2388000E-03,1.41602E-01
2.2388008E-03,1.51367E-01
2.2388016E-03,1.80664E-01
2.2388024E-03,1.90430E-01
2.2388032E-03,1.90430E-01
2.2388040E-03,1.61133E-01
